vin bit trial_v cmp code_after
0.1113 7 0.75 0 0
0.1113 6 0.375 0 0
0.1113 5 0.1875 0 0
0.1113 4 0.09375 1 16
0.1113 3 0.140625 0 16
0.1113 2 0.117188 0 16
0.1113 1 0.105469 1 18
0.1113 0 0.111328 1 19
0.4395 7 0.75 0 0
0.4395 6 0.375 1 64
0.4395 5 0.5625 0 64
0.4395 4 0.46875 0 64
0.4395 3 0.421875 1 72
0.4395 2 0.445312 0 72
0.4395 1 0.433594 1 74
0.4395 0 0.439453 0 74
0.7529 7 0.75 1 128
0.7529 6 1.125 0 128
0.7529 5 0.9375 0 128
0.7529 4 0.84375 0 128
0.7529 3 0.796875 0 128
0.7529 2 0.773438 0 128
0.7529 1 0.761719 0 128
0.7529 0 0.755859 0 128
1.0225 7 0.75 1 128
1.0225 6 1.125 0 128
1.0225 5 0.9375 1 160
1.0225 4 1.03125 0 160
1.0225 3 0.984375 1 168
1.0225 2 1.00781 1 172
1.0225 1 1.01953 1 174
1.0225 0 1.02539 0 174
1.3857 7 0.75 1 128
1.3857 6 1.125 1 192
1.3857 5 1.3125 1 224
1.3857 4 1.40625 0 224
1.3857 3 1.35938 1 232
1.3857 2 1.38281 1 236
1.3857 1 1.39453 0 236
1.3857 0 1.38867 0 236
