[2026-08-15 08:25:09,830] [INFO]    GDS input file passed, running in LVS mode
[2026-08-15 08:25:09,834] [ERROR]    Can't read GDS file (LVS input) at path sa_comp_flat.gds
[2026-08-15 08:25:27,818] [INFO]    GDS input file passed, running in LVS mode
[2026-08-15 08:25:27,822] [INFO]    Found cell sa_comp in GDS sa_comp_flat.gds (only top cell)
[2026-08-15 08:25:27,829] [INFO]    Cache miss: extracted LVSDB does not exist
[2026-08-15 08:25:27,831] [SUBPROCESS]    kpex_out/.kpex_cache/ihp-sg13g2/foss/designs/sar-adc/layout/cmp/sa_comp_flat.gds/sa_comp.lvsdb.gz
[2026-08-15 08:25:27,832] [SUBPROCESS]    klayout -b -r /usr/local/lib/python3.12/dist-packages/klayout_pex/pdk/ihp-sg13g2/libs.tech/kpex/sg13g2.lvs -rd input=/foss/designs/sar-adc/layout/cmp/sa_comp_flat.gds -rd report=/foss/designs/sar-adc/layout/cmp/kpex_out/sa_comp_flat__sa_comp/sa_comp.lvsdb.gz -rd schematic=/foss/designs/sar-adc/layout/cmp/sa_comp.cdl -rd thr=22 -rd run_mode=deep -rd spice_net_names=true -rd spice_comments=false -rd scale=false -rd verbose=false -rd schematic_simplify=false -rd net_only=false -rd top_lvl_pins=true -rd combine=false -rd combine_devices=false -rd purge=false -rd purge_nets=false -rd no_simplify=true
[2026-08-15 08:25:27,833] [SUBPROCESS]    kpex_out/sa_comp_flat__sa_comp/sa_comp_lvs.log
[2026-08-15 08:25:30,016] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (444700K) : Starting running SG13G2 Klayout LVS runset on /foss/designs/sar-adc/layout/cmp/sa_comp_flat.gds
[2026-08-15 08:25:30,018] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (444700K) : Ruby Version for klayout: 3.2.3
[2026-08-15 08:25:30,018] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (445724K) : Loading database to memory is complete.
[2026-08-15 08:25:30,019] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (445724K) : SG13G2 Klayout LVS runset output at: /foss/designs/sar-adc/layout/cmp/kpex_out/sa_comp_flat__sa_comp/sa_comp.lvsdb.gz
