sample,code,track_fall_s,done_rise_s,conversion_ns
0,218,3.1075e-08,6.567269204133229e-08,34.59769204133229
1,60,1.31075e-07,1.6548573866181128e-07,34.41073866181128
2,181,2.31075e-07,2.657075510403968e-07,34.63255104039683
3,103,3.31075e-07,3.6587253929055536e-07,34.79753929055537
4,135,4.31075e-07,4.6571673966560034e-07,34.64173966560035
5,149,5.31075e-07,5.657167529386895e-07,34.64175293868943
6,89,6.31075e-07,6.657762380757698e-07,34.70123807576975
7,193,7.31075e-07,7.655211186032955e-07,34.44611860329545
8,49,8.31075e-07,8.656154608521478e-07,34.540460852147824
9,227,9.31075e-07,9.65817253785305e-07,34.74225378530492
10,22,1.0310750000000001e-06,1.0655656300984808e-06,34.49063009848065
11,247,1.131075e-06,1.1656058732982178e-06,34.53087329821777
12,11,1.2310750000000001e-06,1.265433782139987e-06,34.35878213998683
13,249,1.331075e-06,1.3654700665056138e-06,34.395066505613805
14,18,1.431075e-06,1.465564302163999e-06,34.489302163998914
15,233,1.531075e-06,1.5655696592732076e-06,34.49465927320757
16,43,1.631075e-06,1.6657172606468644e-06,34.64226064686428
17,201,1.731075e-06,1.7656681982187231e-06,34.593198218723124
18,80,1.831075e-06,1.8655661746794124e-06,34.49117467941234
19,159,1.931075e-06,1.966003825470072e-06,34.928825470072084
20,126,2.031075e-06,2.0656694423912236e-06,34.59444239122378
21,112,2.1310749999999998e-06,2.165628136397922e-06,34.553136397922415
22,172,2.231075e-06,2.265712067817823e-06,34.63706781782296
23,68,2.331075e-06,2.3657685848542313e-06,34.69358485423133
24,212,2.431075e-06,2.4655660935309375e-06,34.49109353093765
25,33,2.5310749999999997e-06,2.565624008785864e-06,34.5490087858642
26,239,2.631075e-06,2.6656459116045864e-06,34.570911604586385
27,14,2.731075e-06,2.7656033520619636e-06,34.528352061963616
28,250,2.831075e-06,2.8653723340098687e-06,34.297334009868884
29,12,2.9310749999999997e-06,2.9653716917864916e-06,34.2966917864919
30,243,3.031075e-06,3.0656772590549e-06,34.6022590548999
31,28,3.131075e-06,3.1655221177425016e-06,34.44711774250163
32,219,3.231075e-06,3.2657710177895625e-06,34.69601778956273
