sample,code,track_fall_s,done_rise_s,conversion_ns
0,137,3.1075e-08,6.561811372032166e-08,34.543113720321664
1,160,1.31075e-07,1.6552152965079178e-07,34.446529650791774
2,183,2.31075e-07,2.658883819123734e-07,34.8133819123734
3,203,3.31075e-07,3.6581346939303345e-07,34.73846939303346
4,220,4.31075e-07,4.6576429782500456e-07,34.68929782500458
5,234,5.31075e-07,5.655153346385557e-07,34.44033463855562
6,244,6.31075e-07,6.65454994331054e-07,34.37999433105393
7,250,7.31075e-07,7.654192238310245e-07,34.34422383102449
8,250,8.31075e-07,8.654576749570154e-07,34.38267495701539
9,247,9.31075e-07,9.655633664088982e-07,34.48836640889816
10,239,1.0310750000000001e-06,1.0657118376850234e-06,34.636837685023245
11,226,1.131075e-06,1.165616433200082e-06,34.541433200082
12,211,1.2310750000000001e-06,1.26581742496238e-06,34.742424962379786
13,192,1.331075e-06,1.3653207119182707e-06,34.24571191827068
14,170,1.431075e-06,1.4656895574853883e-06,34.61455748538824
15,148,1.531075e-06,1.5656170080217223e-06,34.54200802172234
16,124,1.631075e-06,1.6656200493344687e-06,34.54504933446863
17,100,1.731075e-06,1.7656778696307335e-06,34.60286963073354
18,79,1.831075e-06,1.8658628708390878e-06,34.78787083908768
19,59,1.931075e-06,1.965871811207844e-06,34.796811207844144
20,41,2.031075e-06,2.0656292717293735e-06,34.554271729373596
21,27,2.1310749999999998e-06,2.1655720327059095e-06,34.49703270590972
22,17,2.231075e-06,2.2654197888618706e-06,34.34478886187051
23,12,2.331075e-06,2.3653633939037417e-06,34.28839390374177
24,11,2.431075e-06,2.465486266310151e-06,34.41126631015132
25,14,2.5310749999999997e-06,2.5655087400421574e-06,34.433740042157716
26,22,2.631075e-06,2.665667637346256e-06,34.592637346255984
27,34,2.731075e-06,2.765614647042662e-06,34.539647042661855
28,50,2.831075e-06,2.865670190252336e-06,34.59519025233638
29,69,2.9310749999999997e-06,2.9657390108823327e-06,34.664010882333
30,91,3.031075e-06,3.065815865221815e-06,34.740865221814815
31,113,3.131075e-06,3.165809423328273e-06,34.73442332827302
32,137,3.231075e-06,3.265620172542858e-06,34.54517254285813
